央视频道,#genre#
CCTV1,http://118.113.146.242:8888/rtp/239.93.0.184:5140
CCTV1,http://171.213.146.255:9991/rtp/239.93.0.184:5140
CCTV1,http://171.213.203.64:8088/rtp/239.93.0.184:5140
CCTV2,http://118.113.146.242:8888/rtp/239.93.1.23:6000
CCTV2,http://171.213.146.255:9991/rtp/239.93.1.23:6000
CCTV2,http://171.213.203.64:8088/rtp/239.93.1.23:6000
CCTV3,http://118.113.146.242:8888/rtp/239.93.1.11:2223
CCTV3,http://171.213.146.255:9991/rtp/239.93.1.11:2223
CCTV3,http://171.213.203.64:8088/rtp/239.93.1.11:2223
CCTV4,http://118.113.146.242:8888/rtp/239.93.1.105:5140
CCTV4,http://171.213.146.255:9991/rtp/239.93.1.105:5140
CCTV4,http://171.213.203.64:8088/rtp/239.93.1.105:5140
CCTV5,http://118.113.146.242:8888/rtp/239.93.1.12:2224
CCTV5,http://118.113.146.242:8888/rtp/239.93.1.36:8004
CCTV5,http://171.213.146.255:9991/rtp/239.93.1.12:2224
CCTV5,http://171.213.146.255:9991/rtp/239.93.1.36:8004
CCTV5,http://171.213.203.64:8088/rtp/239.93.1.12:2224
CCTV6,http://118.113.146.242:8888/rtp/239.93.1.13:2226
CCTV6,http://171.213.146.255:9991/rtp/239.93.1.13:2226
CCTV7,http://118.113.146.242:8888/rtp/239.93.1.67:5140
CCTV7,http://171.213.146.255:9991/rtp/239.93.1.67:5140
CCTV7,http://171.213.203.64:8088/rtp/239.93.1.67:5140
CCTV8,http://118.113.146.242:8888/rtp/239.93.42.39:5140
CCTV8,http://171.213.146.255:9991/rtp/239.93.42.39:5140
CCTV9,http://118.113.146.242:8888/rtp/239.93.1.24:5140
CCTV9,http://171.213.146.255:9991/rtp/239.93.1.24:5140
CCTV9,http://171.213.203.64:8088/rtp/239.93.1.24:5140
CCTV10,http://118.113.146.242:8888/rtp/239.93.1.28:5140
CCTV10,http://171.213.146.255:9991/rtp/239.93.1.28:5140
CCTV10,http://171.213.203.64:8088/rtp/239.93.1.28:5140
CCTV11,http://118.113.146.242:8888/rtp/239.93.0.102:5140
CCTV11,http://171.213.146.255:9991/rtp/239.93.0.102:5140
CCTV11,http://171.213.203.64:8088/rtp/239.93.0.102:5140
CCTV12,http://118.113.146.242:8888/rtp/239.93.1.30:8124
CCTV12,http://171.213.146.255:9991/rtp/239.93.1.30:8124
CCTV12,http://171.213.203.64:8088/rtp/239.93.1.30:8124
CCTV13,http://118.113.146.242:8888/rtp/239.93.0.66:5140
CCTV13,http://171.213.146.255:9991/rtp/239.93.0.66:5140
CCTV13,http://171.213.203.64:8088/rtp/239.93.0.66:5140
CCTV14,http://118.113.146.242:8888/rtp/239.93.1.29:6000
CCTV14,http://171.213.146.255:9991/rtp/239.93.1.29:6000
CCTV14,http://171.213.203.64:8088/rtp/239.93.1.29:6000
CCTV15,http://118.113.146.242:8888/rtp/239.93.0.103:5140
CCTV15,http://171.213.146.255:9991/rtp/239.93.0.103:5140
CCTV15,http://171.213.203.64:8088/rtp/239.93.0.103:5140
CCTV16,http://118.113.146.242:8888/rtp/239.93.42.54:5140
CCTV16,http://171.213.146.255:9991/rtp/239.93.42.54:5140
CCTV16,http://171.213.203.64:8088/rtp/239.93.42.54:5140
CCTV17,http://118.113.146.242:8888/rtp/239.93.0.92:5140
CCTV17,http://171.213.146.255:9991/rtp/239.93.0.92:5140
CCTV17,http://171.213.203.64:8088/rtp/239.93.0.92:5140
CCTV世界地理,http://118.113.146.242:8888/rtp/239.93.0.200:9052
CCTV世界地理,http://171.213.146.255:9991/rtp/239.93.0.200:9052
CCTV世界地理,http://171.213.203.64:8088/rtp/239.93.0.200:9052
CCTV高网频道,http://118.113.146.242:8888/rtp/239.93.0.202:9068
CCTV高网频道,http://171.213.146.255:9991/rtp/239.93.0.202:9068
CCTV高网频道,http://171.213.203.64:8088/rtp/239.93.0.202:9068
卫视频道,#genre#
湖北经视,http://119.36.148.115:59901/tsfile/live/1004_1.m3u8?key=txiptv
湖北综合,http://119.36.148.115:59901/tsfile/live/1005_1.m3u8?key=txiptv
湖北垄上,http://119.36.148.115:59901/tsfile/live/1006_1.m3u8?key=txiptv
湖北公共,http://119.36.148.115:59901/tsfile/live/1007_1.m3u8?key=txiptv
金鹰纪实,http://119.36.148.115:59901/tsfile/live/1010_1.m3u8?key=txiptv
湖南卫视,http://118.113.146.242:8888/rtp/239.93.0.88:5140
湖南卫视,http://171.213.146.255:9991/rtp/239.93.0.88:5140
湖南卫视,http://171.213.203.64:8088/rtp/239.93.0.88:5140
浙江卫视,http://118.113.146.242:8888/rtp/239.93.0.124:5140
浙江卫视,http://171.213.146.255:9991/rtp/239.93.0.124:5140
浙江卫视,http://171.213.203.64:8088/rtp/239.93.0.124:5140
江苏卫视,http://118.113.146.242:8888/rtp/239.93.0.89:5140
江苏卫视,http://171.213.146.255:9991/rtp/239.93.0.89:5140
江苏卫视,http://171.213.203.64:8088/rtp/239.93.0.89:5140
北京卫视,http://118.113.146.242:8888/rtp/239.93.0.180:5140
北京卫视,http://171.213.146.255:9991/rtp/239.93.0.180:5140
北京卫视,http://171.213.203.64:8088/rtp/239.93.0.180:5140
东方卫视,http://118.113.146.242:8888/rtp/239.93.0.123:5140
东方卫视,http://171.213.146.255:9991/rtp/239.93.0.123:5140
东方卫视,http://171.213.203.64:8088/rtp/239.93.0.123:5140
安徽卫视,http://118.113.146.242:8888/rtp/239.93.1.106:5140
安徽卫视,http://171.213.146.255:9991/rtp/239.93.1.106:5140
安徽卫视,http://171.213.203.64:8088/rtp/239.93.1.106:5140
广东卫视,http://118.113.146.242:8888/rtp/239.93.0.181:5140
广东卫视,http://171.213.146.255:9991/rtp/239.93.0.181:5140
广东卫视,http://171.213.203.64:8088/rtp/239.93.0.181:5140
深圳卫视,http://118.113.146.242:8888/rtp/239.93.0.182:5140
深圳卫视,http://171.213.146.255:9991/rtp/239.93.0.182:5140
深圳卫视,http://171.213.203.64:8088/rtp/239.93.0.182:5140
辽宁卫视,http://118.113.146.242:8888/rtp/239.93.1.108:5140
辽宁卫视,http://171.213.146.255:9991/rtp/239.93.1.108:5140
辽宁卫视,http://171.213.203.64:8088/rtp/239.93.1.108:5140
海南卫视,http://118.113.146.242:8888/rtp/239.93.0.80:5140
海南卫视,http://171.213.146.255:9991/rtp/239.93.0.80:5140
海南卫视,http://171.213.203.64:8088/rtp/239.93.0.80:5140
山东卫视,http://118.113.146.242:8888/rtp/239.93.0.168:5140
山东卫视,http://171.213.146.255:9991/rtp/239.93.0.168:5140
山东卫视,http://171.213.203.64:8088/rtp/239.93.0.168:5140
天津卫视,http://118.113.146.242:8888/rtp/239.93.0.167:5140
天津卫视,http://171.213.146.255:9991/rtp/239.93.0.167:5140
天津卫视,http://171.213.203.64:8088/rtp/239.93.0.167:5140
重庆卫视,http://118.113.146.242:8888/rtp/239.93.1.107:5140
重庆卫视,http://171.213.146.255:9991/rtp/239.93.1.107:5140
重庆卫视,http://171.213.203.64:8088/rtp/239.93.1.107:5140
东南卫视,http://118.113.146.242:8888/rtp/239.93.0.42:5140
东南卫视,http://171.213.146.255:9991/rtp/239.93.0.42:5140
东南卫视,http://171.213.203.64:8088/rtp/239.93.0.42:5140
甘肃卫视,http://118.113.146.242:8888/rtp/239.93.0.81:5140
甘肃卫视,http://171.213.146.255:9991/rtp/239.93.0.81:5140
甘肃卫视,http://171.213.203.64:8088/rtp/239.93.0.81:5140
广西卫视,http://118.113.146.242:8888/rtp/239.93.42.46:5140
广西卫视,http://171.213.146.255:9991/rtp/239.93.42.46:5140
广西卫视,http://171.213.203.64:8088/rtp/239.93.42.46:5140
贵州卫视,http://118.113.146.242:8888/rtp/239.93.0.131:5140
贵州卫视,http://171.213.146.255:9991/rtp/239.93.0.131:5140
贵州卫视,http://171.213.203.64:8088/rtp/239.93.0.131:5140
河北卫视,http://118.113.146.242:8888/rtp/239.93.0.132:5140
河北卫视,http://171.213.146.255:9991/rtp/239.93.0.132:5140
河北卫视,http://171.213.203.64:8088/rtp/239.93.0.132:5140
黑龙江卫视,http://118.113.146.242:8888/rtp/239.93.0.183:5140
黑龙江卫视,http://171.213.146.255:9991/rtp/239.93.0.183:5140
黑龙江卫视,http://171.213.203.64:8088/rtp/239.93.0.183:5140
河南卫视,http://118.113.146.242:8888/rtp/239.93.42.45:5140
河南卫视,http://171.213.146.255:9991/rtp/239.93.42.45:5140
河南卫视,http://171.213.203.64:8088/rtp/239.93.42.45:5140
湖北卫视,http://118.113.146.242:8888/rtp/239.93.0.250:5140
湖北卫视,http://171.213.146.255:9991/rtp/239.93.0.250:5140
湖北卫视,http://171.213.203.64:8088/rtp/239.93.0.250:5140
江西卫视,http://118.113.146.242:8888/rtp/239.93.0.134:5140
江西卫视,http://171.213.146.255:9991/rtp/239.93.0.134:5140
江西卫视,http://171.213.203.64:8088/rtp/239.93.0.134:5140
吉林卫视,http://118.113.146.242:8888/rtp/239.93.0.248:5140
吉林卫视,http://171.213.146.255:9991/rtp/239.93.0.248:5140
吉林卫视,http://171.213.203.64:8088/rtp/239.93.0.248:5140
内蒙古卫视,http://118.113.146.242:8888/rtp/239.93.0.8:5140
内蒙古卫视,http://171.213.146.255:9991/rtp/239.93.0.8:5140
内蒙古卫视,http://171.213.203.64:8088/rtp/239.93.0.8:5140
宁夏卫视,http://118.113.146.242:8888/rtp/239.93.0.247:5140
宁夏卫视,http://171.213.146.255:9991/rtp/239.93.0.247:5140
宁夏卫视,http://171.213.203.64:8088/rtp/239.93.0.247:5140
山西卫视,http://118.113.146.242:8888/rtp/239.93.0.6:5140
山西卫视,http://171.213.146.255:9991/rtp/239.93.0.6:5140
山西卫视,http://171.213.203.64:8088/rtp/239.93.0.6:5140
四川卫视,http://118.113.146.242:8888/rtp/239.93.0.20:1235
四川卫视,http://171.213.146.255:9991/rtp/239.93.0.20:1235
四川卫视,http://171.213.203.64:8088/rtp/239.93.0.20:1235
新疆卫视,http://118.113.146.242:8888/rtp/239.93.0.194:5140
新疆卫视,http://171.213.146.255:9991/rtp/239.93.0.194:5140
新疆卫视,http://171.213.203.64:8088/rtp/239.93.0.194:5140
厦门卫视,http://118.113.146.242:8888/rtp/239.93.42.57:5140
厦门卫视,http://171.213.146.255:9991/rtp/239.93.42.57:5140
厦门卫视,http://171.213.203.64:8088/rtp/239.93.42.57:5140
青海卫视,http://118.113.146.242:8888/rtp/239.93.0.192:5140
青海卫视,http://171.213.146.255:9991/rtp/239.93.0.192:5140
青海卫视,http://171.213.203.64:8088/rtp/239.93.0.192:5140
西藏卫视,http://118.113.146.242:8888/rtp/239.93.0.175:5140
西藏卫视,http://171.213.146.255:9991/rtp/239.93.0.175:5140
西藏卫视,http://171.213.203.64:8088/rtp/239.93.0.175:5140
兵团卫视,http://118.113.146.242:8888/rtp/239.93.42.43:5140
兵团卫视,http://171.213.146.255:9991/rtp/239.93.42.43:5140
兵团卫视,http://171.213.203.64:8088/rtp/239.93.42.43:5140
康巴卫视,http://118.113.146.242:8888/rtp/239.93.0.41:5140
康巴卫视,http://171.213.146.255:9991/rtp/239.93.0.41:5140
康巴卫视,http://171.213.203.64:8088/rtp/239.93.0.41:5140
三沙卫视,http://118.113.146.242:8888/rtp/239.93.42.58:5140
三沙卫视,http://171.213.146.255:9991/rtp/239.93.42.58:5140
三沙卫视,http://171.213.203.64:8088/rtp/239.93.42.58:5140
卡酷动画,http://118.113.146.242:8888/rtp/239.93.0.208:5140
卡酷动画,http://171.213.146.255:9991/rtp/239.93.0.208:5140
卡酷动画,http://171.213.203.64:8088/rtp/239.93.0.208:5140
哈哈炫动,http://118.113.146.242:8888/rtp/239.93.0.173:5140
哈哈炫动,http://171.213.146.255:9991/rtp/239.93.0.173:5140
哈哈炫动,http://171.213.203.64:8088/rtp/239.93.0.173:5140
金鹰卡通,http://118.113.146.242:8888/rtp/239.93.0.108:5140
金鹰卡通,http://171.213.146.255:9991/rtp/239.93.0.108:5140
金鹰卡通,http://171.213.203.64:8088/rtp/239.93.0.108:5140
嘉佳卡通,http://118.113.146.242:8888/rtp/239.93.0.246:5140
嘉佳卡通,http://171.213.146.255:9991/rtp/239.93.0.246:5140
优漫卡通,http://118.113.146.242:8888/rtp/239.93.0.251:5140
优漫卡通,http://171.213.146.255:9991/rtp/239.93.0.251:5140
优漫卡通,http://171.213.203.64:8088/rtp/239.93.0.251:5140
数字频道,#genre#
电竞天堂,http://118.113.146.242:8888/rtp/239.93.1.135:5140
电竞天堂,http://118.113.146.242:8888/rtp/239.93.42.19:5140
电竞天堂,http://171.213.146.255:9991/rtp/239.93.1.135:5140
电竞天堂,http://171.213.146.255:9991/rtp/239.93.42.19:5140
电竞天堂,http://171.213.203.64:8088/rtp/239.93.1.135:5140
电竞天堂,http://171.213.203.64:8088/rtp/239.93.42.19:5140
生活时尚,http://118.113.146.242:8888/rtp/239.93.0.106:5140
生活时尚,http://171.213.146.255:9991/rtp/239.93.0.106:5140
生活时尚,http://171.213.203.64:8088/rtp/239.93.0.106:5140
动感音乐,http://118.113.146.242:8888/rtp/239.93.0.198:9044
动感音乐,http://171.213.146.255:9991/rtp/239.93.0.198:9044
动感音乐,http://171.213.203.64:8088/rtp/239.93.0.198:9044
财富天下,http://118.113.146.242:8888/rtp/239.93.0.116:9136
财富天下,http://171.213.146.255:9991/rtp/239.93.0.116:9136
财富天下,http://171.213.203.64:8088/rtp/239.93.0.116:9136
游戏风云,http://118.113.146.242:8888/rtp/239.93.0.136:5140
游戏风云,http://171.213.146.255:9991/rtp/239.93.0.136:5140
游戏风云,http://171.213.203.64:8088/rtp/239.93.0.136:5140
电影频道,#genre#
科幻电影,http://118.113.146.242:8888/rtp/239.93.42.10:5140
科幻电影,http://171.213.146.255:9991/rtp/239.93.42.10:5140
科幻电影,http://171.213.203.64:8088/rtp/239.93.42.10:5140
华语影院,http://118.113.146.242:8888/rtp/239.93.0.138:5140
华语影院,http://171.213.146.255:9991/rtp/239.93.0.138:5140
华语影院,http://171.213.203.64:8088/rtp/239.93.0.138:5140
经典电影,http://118.113.146.242:8888/rtp/239.93.0.57:9024
经典电影,http://171.213.146.255:9991/rtp/239.93.0.57:9024
经典电影,http://171.213.203.64:8088/rtp/239.93.0.57:9024
教育频道,#genre#
中国教育1,http://118.113.146.242:8888/rtp/239.93.1.111:5140
中国教育1,http://171.213.146.255:9991/rtp/239.93.1.111:5140
中国教育1,http://171.213.203.64:8088/rtp/239.93.1.111:5140
中国教育4,http://118.113.146.242:8888/rtp/239.93.0.50:5140
中国教育4,http://171.213.146.255:9991/rtp/239.93.0.50:5140
中国教育4,http://171.213.203.64:8088/rtp/239.93.0.50:5140
CGTN,http://118.113.146.242:8888/rtp/239.93.0.104:5140
CGTN,http://171.213.146.255:9991/rtp/239.93.0.104:5140
CGTN,http://171.213.203.64:8088/rtp/239.93.0.104:5140
CGTN法语,http://118.113.146.242:8888/rtp/239.93.42.50:5140
CGTN法语,http://171.213.146.255:9991/rtp/239.93.42.50:5140
CGTN法语,http://171.213.203.64:8088/rtp/239.93.42.50:5140
CGTN西语,http://118.113.146.242:8888/rtp/239.93.42.49:5140
CGTN西语,http://171.213.146.255:9991/rtp/239.93.42.49:5140
