🐼看电视呗,#genre#
温馨提醒,https://vd3.bdstatic.com/mda-pekbzwejzv6m3h6d/hd/cae_h264/1684832121402940833/mda-pekbzwejzv6m3h6d.mp4
接口免费,https://upos-sz-mirror08c.bilivideo.com/upgcxcode/11/18/25899501811/25899501811-1-192.mp4?e=ig8euxZM2rNcNbR17wdVhwdlhWRMhwdVhoNvNC8BqJIzNbfqXBvEqxTEto8BTrNvN0GvT90W5JZMkX_YN0MvXg8gNEV4NC8xNEV4N03eN0B5tZlqNxTEto8BTrNvNeZVuJ10Kj_g2UB02J0mN0B5tZlqNCNEto8BTrNvNC7MTX502C8f2jmMQJ6mqF2fka1mqx6gqj0eN0B599M=&uipk=5&nbs=1&deadline=1727863578&gen=playurlv2&os=08cbv&oi=0&trid=136bbdcb5fd34c50b8834b07f643b95au&mid=153581525&platform=pc&og=hw&upsig=1402a0631915e97b2b781b12cdf972e7&uparams=e,uipk,nbs,deadline,gen,os,oi,trid,mid,platform,og&bvc=vod&nettype=0&orderid=0,3&buvid=B90E25BD-15D0-8F49-230E-6225ED46A1B398596infoc&build=0&f=u_0_0&agrr=1&bw=114795&logo=80000000
拒绝收费,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方
金鹰卡通,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010107/1.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010102/1.m3u8
哈哈炫动,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010117/1.m3u8
哈哈炫动,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
优漫卡通,http://[2409:8087:1a0a:df::402c]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
优漫卡通,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010118/1.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
湖北经视,http://qwe.iptviptv.site:9694/hls/570/index.m3u8
风云足球,http://s.cdhongyuan.cn:4022/udp/239.93.0.235:5140
风云足球,http://60.10.225.157:555/rtp/239.253.93.254:6432
风云足球,http://www.lizhinas.top:8688/rtp/239.252.219.96:5140
风云足球,http://mryx.fun:1025/udp/239.11.0.59:1025
风云足球,http://154.12.55.21/zb/zb.php?id=239.253.93.254:6432475173f06f696049e5f5502479f743f1&v=3&time=0
更新2024-10-02,https://api.lq.mba/api/dm-xjj
更新2024-10-02,https://api.yujn.cn/api/duilian.php?type=video
更新2024-10-02,https://api.kuleu.com/api/xjj?type=string
更新2024-10-02,http://api.yujn.cn/api/juhexjj.php?type=video
更新2024-10-02,http://api.yujn.cn/api/jiepai.php?type=video
