央视,#genre#

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV4美洲,http://dd.ddzb.fun/php/migu.php?id=cctv4a
CCTV4美洲,http://182.92.109.190:1668/migu720/migu720.php?id=cctv4a
CCTV4欧洲,http://dd.ddzb.fun/php/migu.php?id=cctv4o
CCTV4K,http://60.255.240.247:8090/live/ys4Kcq_2000.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
